&	POLISH ZLOTY TO EURO 	YLD_YTM_BID
13 Sep 2013	4.2073	4.481
16 Sep 2013	4.19375	4.401
17 Sep 2013	4.2108	4.443
18 Sep 2013	4.2292	4.442
19 Sep 2013	4.18985	4.3
20 Sep 2013	4.22595	4.341
23 Sep 2013	4.2255	4.33
24 Sep 2013	4.23015	4.312
25 Sep 2013	4.21825	4.356
26 Sep 2013	4.23225	4.418
27 Sep 2013	4.2237	4.416
30 Sep 2013	4.2254	4.477
01 Oct 2013	4.216	4.448
02 Oct 2013	4.21115	4.406
03 Oct 2013	4.20325	4.395
04 Oct 2013	4.2045	4.42
07 Oct 2013	4.1944	4.394
08 Oct 2013	4.18715	4.413
09 Oct 2013	4.1969	4.41
10 Oct 2013	4.18855	4.451
11 Oct 2013	4.19345	4.453
14 Oct 2013	4.1829	4.373
15 Oct 2013	4.17325	4.328
16 Oct 2013	4.16505	4.33
17 Oct 2013	4.1712	4.263
18 Oct 2013	4.17275	4.23
21 Oct 2013	4.17275	4.3
22 Oct 2013	4.16365	4.236
23 Oct 2013	4.179	4.213
24 Oct 2013	4.17865	4.099
25 Oct 2013	4.18095	4.148
28 Oct 2013	4.1792	4.099
29 Oct 2013	4.1844	4.124
30 Oct 2013	4.17	4.128
31 Oct 2013	4.18295	4.188
01 Nov 2013	4.19735	4.187
04 Nov 2013	4.1798	4.235
05 Nov 2013	4.18375	4.325
06 Nov 2013	4.1715	4.307
07 Nov 2013	4.1823	4.227
08 Nov 2013	4.1918	4.301
11 Nov 2013	4.2142	4.301
12 Nov 2013	4.20715	4.43
13 Nov 2013	4.19725	4.365
14 Nov 2013	4.19105	4.326
15 Nov 2013	4.18715	4.378
18 Nov 2013	4.1752	4.373
19 Nov 2013	4.1775	4.378
20 Nov 2013	4.18625	4.431
21 Nov 2013	4.1953	4.443
22 Nov 2013	4.197	4.43
25 Nov 2013	4.1955	4.443
26 Nov 2013	4.2039	4.456
27 Nov 2013	4.20425	4.51
28 Nov 2013	4.1988	4.535
29 Nov 2013	4.2018	4.516
02 Dec 2013	4.20125	4.548
03 Dec 2013	4.202	4.562
04 Dec 2013	4.19935	4.576
05 Dec 2013	4.19165	4.59
06 Dec 2013	4.1831	4.549
09 Dec 2013	4.1852	4.451
10 Dec 2013	4.1805	4.432
11 Dec 2013	4.1817	4.447
12 Dec 2013	4.1828	4.475
13 Dec 2013	4.17935	4.449
16 Dec 2013	4.1771	4.384
17 Dec 2013	4.18025	4.371
18 Dec 2013	4.1825	4.31
19 Dec 2013	4.16645	4.322
20 Dec 2013	4.15865	4.318
23 Dec 2013	4.1576	4.29
24 Dec 2013	4.14155	4.29
25 Dec 2013	4.14155	4.29
26 Dec 2013	4.13925	4.29
27 Dec 2013	4.148	4.316
30 Dec 2013	4.14675	4.347
31 Dec 2013	4.1579	4.347
01 Jan 2014	4.1579	4.347
02 Jan 2014	4.1659	4.422
03 Jan 2014	4.17	4.474
06 Jan 2014	4.1759	4.472
07 Jan 2014	4.17675	4.465
08 Jan 2014	4.1758	4.474
09 Jan 2014	4.1774	4.487
10 Jan 2014	4.1636	4.424
13 Jan 2014	4.1535	4.363
14 Jan 2014	4.1445	4.387
15 Jan 2014	4.15905	4.396
16 Jan 2014	4.1685	4.363
17 Jan 2014	4.16335	4.336
20 Jan 2014	4.1599	4.332
21 Jan 2014	4.16495	4.368
22 Jan 2014	4.16215	4.363
23 Jan 2014	4.1793	4.35
24 Jan 2014	4.20455	4.418
27 Jan 2014	4.2078	4.485
28 Jan 2014	4.20125	4.428
29 Jan 2014	4.21755	4.555
30 Jan 2014	4.2295	4.622
31 Jan 2014	4.25095	4.736
03 Feb 2014	4.2385	4.67
04 Feb 2014	4.2184	4.587
05 Feb 2014	4.18975	4.557
06 Feb 2014	4.1795	4.479
07 Feb 2014	4.17775	4.423
10 Feb 2014	4.17835	4.434
11 Feb 2014	4.1741	4.48
12 Feb 2014	4.15825	4.528
13 Feb 2014	4.161	4.541
14 Feb 2014	4.148	4.499
17 Feb 2014	4.1418	4.488
18 Feb 2014	4.15	4.487
19 Feb 2014	4.16825	4.533
20 Feb 2014	4.1685	4.522
21 Feb 2014	4.15615	4.437
24 Feb 2014	4.157	4.411
25 Feb 2014	4.1493	4.417
26 Feb 2014	4.16825	4.428
27 Feb 2014	4.1694	4.386
28 Feb 2014	4.17175	4.389
03 Mar 2014	4.2012	4.418
04 Mar 2014	4.1893	4.366
05 Mar 2014	4.1865	4.204
06 Mar 2014	4.17625	4.215
07 Mar 2014	4.2037	4.279
10 Mar 2014	4.2153	4.241
11 Mar 2014	4.22175	4.262
12 Mar 2014	4.22805	4.256
13 Mar 2014	4.23425	4.297
14 Mar 2014	4.23505	4.295
17 Mar 2014	4.2261	4.255
18 Mar 2014	4.2097	4.216
19 Mar 2014	4.1981	4.243
20 Mar 2014	4.20145	4.322
21 Mar 2014	4.20025	4.282
24 Mar 2014	4.199	4.256
25 Mar 2014	4.18955	4.26
26 Mar 2014	4.18	4.232
27 Mar 2014	4.16525	4.218
28 Mar 2014	4.17225	4.213
31 Mar 2014	4.16425	4.232
01 Apr 2014	4.1784	4.222
02 Apr 2014	4.17235	4.256
03 Apr 2014	4.16275	4.224
04 Apr 2014	4.16075	4.13
07 Apr 2014	4.1725	4.087
08 Apr 2014	4.1682	4.062
09 Apr 2014	4.16935	4.076
10 Apr 2014	4.1714	4.015
11 Apr 2014	4.18095	4.043
14 Apr 2014	4.178	4.054
15 Apr 2014	4.19495	4.111
16 Apr 2014	4.1951	4.118
17 Apr 2014	4.1861	4.118
18 Apr 2014	4.1861	4.118
21 Apr 2014	4.1818	4.118
22 Apr 2014	4.19115	4.129
23 Apr 2014	4.1914	4.116
24 Apr 2014	4.198	4.113
25 Apr 2014	4.21125	4.122
28 Apr 2014	4.2074	4.12
29 Apr 2014	4.1994	4.122
30 Apr 2014	4.1978	4.027
01 May 2014	4.193	4.033
02 May 2014	4.20575	4.016
05 May 2014	4.2046	4.03
06 May 2014	4.19975	4.024
07 May 2014	4.1905	3.922
08 May 2014	4.1844	3.854
09 May 2014	4.18125	3.883
12 May 2014	4.1819	3.898
13 May 2014	4.1806	3.83
14 May 2014	4.18955	3.734
15 May 2014	4.19275	3.764
16 May 2014	4.18585	3.771
19 May 2014	4.18895	3.798
20 May 2014	4.18715	3.896
21 May 2014	4.1797	3.805
22 May 2014	4.16975	3.773173064
23 May 2014	4.1552	3.773173064
26 May 2014	4.16595	3.691115011
27 May 2014	4.15815	3.699899814
28 May 2014	4.15425	3.6658587
29 May 2014	4.14325	3.621834853
30 May 2014	4.135	3.669352656
02 Jun 2014	4.1395	3.677538496
03 Jun 2014	4.1508	3.699400678
04 Jun 2014	4.1378	3.66286388
05 Jun 2014	4.13725	3.63720826
06 Jun 2014	4.09425	3.4988476
09 Jun 2014	4.10365	3.502641038
10 Jun 2014	4.11125	3.533687333
11 Jun 2014	4.11305	3.533587506
12 Jun 2014	4.11055	3.543170928
13 Jun 2014	4.11995	3.501143628
16 Jun 2014	4.14275	3.536981635
17 Jun 2014	4.1409	3.572719814
18 Jun 2014	4.13945	3.56653052
&title=To come	 	 
"&subtitle=Left - Zlotys per Ä/Right - Polish 10-year government bond yield (local currency, bid rate, %)"
&source=Bloomberg
&comment=Line chart
&doublescale=1
&accumulate=false
