&	RESEARCH IN MOTION (NAS)
01 May 2013	15.8	
02 May 2013	15.7
03 May 2013	15.63
06 May 2013	15.57
07 May 2013	14.821
08 May 2013	14.9
09 May 2013	15.39
10 May 2013	15.54
13 May 2013	15.88
14 May 2013	15.25
15 May 2013	-15
16 May 2013	14.69
17 May 2013	14.62
20 May 2013	14.98
21 May 2013	14.77
22 May 2013	14.46
23 May 2013	14.43
24 May 2013	14.48
27 May 2013	14.48
28 May 2013	14.359
29 May 2013	14.17
30 May 2013	14.42
31 May 2013	13.955
03 Jun 2013	13.61
04 Jun 2013	13.537
05 Jun 2013	13.63
06 Jun 2013	13.71
07 Jun 2013	13.86
10 Jun 2013	13.95
11 Jun 2013	13.66
12 Jun 2013	13.56
13 Jun 2013	14.42
14 Jun 2013	14.44
17 Jun 2013	14.3
18 Jun 2013	14.84
19 Jun 2013	14.181
20 Jun 2013	13.98
21 Jun 2013	13.775
24 Jun 2013	14.1
25 Jun 2013	14.56
26 Jun 2013	14.91
27 Jun 2013	14.48
28 Jun 2013	10.8851
&title=Research in Motion	
&subtitle=Share price ($)	
&source=Thomson Reuters Datastream	
&comment=Any message you want Graphics to see during processing; delete if not required	
&doublescale=0
&accumulate=false
&falseorigin=true
